ID,adj.P.Val,P.Value,t,B,logFC,miRNA_ID,SPOT_ID
hsa-miR-3620-5p,0.589,0.012099,-3.527931,-2.451,-0.17870894,hsa-miR-3620-5p,
hsa-miR-1301-5p,0.589,0.012214,-3.520178,-2.459,-0.07844417,hsa-miR-1301-5p,
hsa-miR-3065-5p,0.589,0.012268,3.516632,-2.463,0.33574588,hsa-miR-3065-5p,
hsa-miR-3158-3p,0.589,0.012402,3.507732,-2.472,0.0802452,hsa-miR-3158-3p,
hsa-miR-4667-5p,0.589,0.012798,-3.482143,-2.499,-0.31584016,hsa-miR-4667-5p,
hsa-miR-5739,0.589,0.013023,-3.468035,-2.514,-0.27611612,hsa-miR-5739,
hsa-miR-664b-3p,0.589,0.013692,3.427482,-2.557,0.42111176,hsa-miR-664b-3p,
hsa-miR-92b-5p,0.589,0.014012,3.408877,-2.576,0.29539727,hsa-miR-92b-5p,
hsa-miR-1244,0.589,0.014648,-3.37323,-2.614,-0.0727318,hsa-miR-1244,
hsa-miR-483-5p,0.589,0.014929,-3.358014,-2.631,-0.58771387,hsa-miR-483-5p,
hsa-miR-542-3p,0.589,0.015144,3.346561,-2.643,1.24411832,hsa-miR-542-3p,
hsa-miR-6800-3p,0.589,0.015221,3.342551,-2.647,0.07690523,hsa-miR-6800-3p,
hsa-miR-4697-5p,0.589,0.015415,-3.332445,-2.658,-0.14253837,hsa-miR-4697-5p,
hsa-miR-3607-3p,0.589,0.015665,3.319598,-2.672,0.32436674,hsa-miR-3607-3p,
hsa-miR-497-5p,0.589,0.01579,-3.313261,-2.679,-1.29852401,hsa-miR-497-5p,
hsa-miR-17-3p,0.589,0.015824,3.311543,-2.681,0.39979004,hsa-miR-17-3p,
hsa-miR-4713-5p,0.589,0.016074,3.299083,-2.694,0.05736742,hsa-miR-4713-5p,
hsa-miR-4522,0.589,0.016501,-3.278314,-2.717,-0.12888641,hsa-miR-4522,
hsa-miR-532-5p,0.589,0.016972,3.256047,-2.741,0.74001806,hsa-miR-532-5p,
hsa-miR-4760-5p,0.589,0.017301,3.240887,-2.758,0.06829696,hsa-miR-4760-5p,
hsa-miR-7161-5p,0.589,0.017473,-3.233072,-2.766,-0.10002373,hsa-miR-7161-5p,
hsa-miR-6865-3p,0.589,0.017558,3.22923,-2.771,0.0976514,hsa-miR-6865-3p,
hsa-miR-6505-3p,0.589,0.018304,-3.196534,-2.806,-0.07075595,hsa-miR-6505-3p,
hsa-miR-2277-3p,0.589,0.018343,-3.194855,-2.808,-0.05939264,hsa-miR-2277-3p,
hsa-miR-6129,0.589,0.018407,-3.192131,-2.811,-0.11573942,hsa-miR-6129,
hsa-miR-3179,0.589,0.018666,3.181183,-2.823,0.06512082,hsa-miR-3179,
hsa-miR-3186-3p,0.589,0.018997,-3.167393,-2.839,-0.06133546,hsa-miR-3186-3p,
hsa-miR-132-5p,0.589,0.019534,-3.14561,-2.863,-0.09755507,hsa-miR-132-5p,
hsa-miR-520f-3p,0.589,0.019559,3.144636,-2.864,0.93750693,hsa-miR-520f-3p,
hsa-miR-660-5p,0.589,0.019694,3.139249,-2.87,0.6936271,hsa-miR-660-5p,
hsa-miR-98-5p,0.589,0.019696,-3.139175,-2.87,-0.45487209,hsa-miR-98-5p,
hsa-miR-544b,0.589,0.019909,3.130782,-2.879,0.05770637,hsa-miR-544b,
hsa-miR-598-3p,0.589,0.020121,-3.122539,-2.889,-0.13719697,hsa-miR-598-3p,
hsa-miR-542-5p,0.589,0.020278,3.116498,-2.895,1.15762789,hsa-miR-542-5p,
hsa-miR-516a-3p,0.589,0.0209,3.093029,-2.922,0.31186994,hsa-miR-516a-3p,
hsa-miR-4328,0.589,0.02095,3.091183,-2.924,0.15974977,hsa-miR-4328,
hsa-miR-331-3p,0.589,0.021036,3.088008,-2.927,0.70592047,hsa-miR-331-3p,
hsa-miR-548w,0.589,0.021453,3.072794,-2.944,0.04942485,hsa-miR-548w,
hsa-miR-2355-5p,0.589,0.021804,-3.060258,-2.958,-0.07845631,hsa-miR-2355-5p,
hsa-miR-219a-5p,0.589,0.021968,3.054456,-2.965,0.1707048,hsa-miR-219a-5p,
hsa-miR-4470,0.589,0.022009,-3.053011,-2.966,-0.12487164,hsa-miR-4470,
hsa-miR-1243,0.589,0.022041,-3.051916,-2.968,-0.07296834,hsa-miR-1243,
hsa-miR-384,0.589,0.022147,3.048188,-2.972,0.0626653,hsa-miR-384,
hsa-miR-4789-5p,0.589,0.022367,3.040572,-2.981,0.05939654,hsa-miR-4789-5p,
hsa-miR-4759,0.589,0.022368,3.040548,-2.981,0.06303513,hsa-miR-4759,
hsa-miR-6831-3p,0.589,0.022626,3.031711,-2.991,0.06537473,hsa-miR-6831-3p,
hsa-miR-6797-5p,0.589,0.022817,-3.025216,-2.998,-0.13261713,hsa-miR-6797-5p,
hsa-miR-362-3p,0.589,0.023299,3.009132,-3.016,0.55496239,hsa-miR-362-3p,
hsa-miR-760,0.589,0.023308,-3.008847,-3.016,-0.23955737,hsa-miR-760,
hsa-miR-135b-5p,0.589,0.023449,3.004223,-3.022,1.40194909,hsa-miR-135b-5p,
hsa-miR-935,0.589,0.023608,-2.999011,-3.028,-0.04752783,hsa-miR-935,
hsa-miR-6841-3p,0.589,0.024092,2.983449,-3.045,0.06697185,hsa-miR-6841-3p,
hsa-miR-4518,0.589,0.024735,2.963273,-3.068,0.07872156,hsa-miR-4518,
hsa-miR-5087,0.589,0.024739,2.963172,-3.068,0.04855117,hsa-miR-5087,
hsa-miR-135a-3p,0.589,0.024856,-2.959544,-3.073,-0.15774322,hsa-miR-135a-3p,
hsa-miR-128-1-5p,0.589,0.025141,2.950839,-3.083,0.092209,hsa-miR-128-1-5p,
hsa-miR-450a-5p,0.589,0.025219,2.948477,-3.085,1.05032464,hsa-miR-450a-5p,
hsa-miR-324-5p,0.589,0.025311,2.945683,-3.088,0.90273659,hsa-miR-324-5p,
hsa-miR-875-3p,0.589,0.025345,2.94468,-3.09,0.06011283,hsa-miR-875-3p,
hsa-miR-6887-5p,0.589,0.02559,-2.93732,-3.098,-0.12756644,hsa-miR-6887-5p,
hsa-miR-502-3p,0.589,0.025948,2.926729,-3.11,0.31127562,hsa-miR-502-3p,
hsa-miR-191-3p,0.589,0.025959,2.926408,-3.11,0.10102301,hsa-miR-191-3p,
hsa-miR-579-5p,0.589,0.025977,2.925893,-3.111,0.07099831,hsa-miR-579-5p,
hsa-miR-18b-3p,0.589,0.025981,-2.925776,-3.111,-0.07703234,hsa-miR-18b-3p,
hsa-miR-192-5p,0.589,0.026118,2.921751,-3.116,0.49262494,hsa-miR-192-5p,
hsa-miR-1291,0.589,0.026532,-2.909779,-3.13,-0.0638069,hsa-miR-1291,
hsa-miR-3135b,0.589,0.027446,-2.884048,-3.159,-0.91243643,hsa-miR-3135b,
hsa-miR-146b-5p,0.589,0.027533,-2.881649,-3.162,-1.58267377,hsa-miR-146b-5p,
hsa-miR-545-3p,0.589,0.027721,2.876507,-3.168,0.1687109,hsa-miR-545-3p,
hsa-miR-195-5p,0.589,0.028023,-2.868288,-3.177,-1.13157629,hsa-miR-195-5p,
hsa-miR-3976,0.589,0.028086,-2.866582,-3.179,-0.24911054,hsa-miR-3976,
hsa-miR-3132,0.589,0.028552,-2.854128,-3.194,-0.15836771,hsa-miR-3132,
hsa-miR-3682-3p,0.589,0.028902,-2.844919,-3.204,-0.06437306,hsa-miR-3682-3p,
hsa-miR-625-5p,0.589,0.029029,2.841605,-3.208,0.84618413,hsa-miR-625-5p,
hsa-miR-100-5p,0.589,0.029159,2.838225,-3.212,1.25224417,hsa-miR-100-5p,
hsa-miR-4792,0.589,0.02927,-2.835371,-3.216,-0.05568346,hsa-miR-4792,
hsa-miR-7113-5p,0.589,0.029281,-2.83508,-3.216,-0.06246353,hsa-miR-7113-5p,
hsa-miR-920,0.589,0.029352,2.833261,-3.218,0.07232647,hsa-miR-920,
hsa-miR-105-5p,0.589,0.029518,2.828998,-3.223,0.09168703,hsa-miR-105-5p,
hsa-miR-184,0.589,0.029554,2.828068,-3.224,0.70944359,hsa-miR-184,
hsa-miR-3161,0.589,0.029765,-2.822726,-3.23,-0.1288244,hsa-miR-3161,
hsa-miR-548n,0.589,0.030202,2.81174,-3.243,0.06603709,hsa-miR-548n,
hsa-miR-6838-3p,0.589,0.030269,-2.810065,-3.245,-0.05788136,hsa-miR-6838-3p,
hsa-miR-664b-5p,0.589,0.031085,-2.790036,-3.268,-0.32442167,hsa-miR-664b-5p,
hsa-miR-6894-5p,0.589,0.031114,-2.789339,-3.269,-0.09030871,hsa-miR-6894-5p,
hsa-miR-500a-5p,0.589,0.031325,2.784267,-3.275,0.11143208,hsa-miR-500a-5p,
hsa-miR-423-5p,0.589,0.031645,2.776628,-3.284,0.38784331,hsa-miR-423-5p,
hsa-miR-4441,0.589,0.031722,-2.774814,-3.286,-0.10258847,hsa-miR-4441,
hsa-miR-200b-3p,0.589,0.031806,-2.772832,-3.288,-0.24889498,hsa-miR-200b-3p,
hsa-miR-874-3p,0.589,0.032071,2.766589,-3.296,0.33206744,hsa-miR-874-3p,
hsa-miR-6747-5p,0.589,0.032292,-2.761456,-3.302,-0.2216503,hsa-miR-6747-5p,
hsa-miR-1184,0.589,0.033024,-2.744672,-3.321,-0.05901408,hsa-miR-1184,
hsa-miR-1245b-3p,0.589,0.033719,2.729087,-3.34,0.06370178,hsa-miR-1245b-3p,
hsa-miR-100-3p,0.589,0.033969,2.723557,-3.346,0.15867662,hsa-miR-100-3p,
hsa-miR-3661,0.589,0.033993,-2.723047,-3.347,-0.05114619,hsa-miR-3661,
hsa-miR-6733-3p,0.589,0.034048,2.721834,-3.348,0.06438156,hsa-miR-6733-3p,
hsa-miR-3168,0.589,0.034049,2.721803,-3.348,0.05430208,hsa-miR-3168,
hsa-miR-5007-5p,0.589,0.034063,2.721497,-3.349,0.05150422,hsa-miR-5007-5p,
hsa-miR-660-3p,0.589,0.034189,2.718741,-3.352,0.16458557,hsa-miR-660-3p,
hsa-miR-4770,0.589,0.034607,2.709683,-3.363,0.20677425,hsa-miR-4770,
hsa-miR-4640-5p,0.589,0.034628,-2.709216,-3.363,-0.18136247,hsa-miR-4640-5p,
hsa-miR-664a-5p,0.589,0.034913,-2.703101,-3.37,-0.15455165,hsa-miR-664a-5p,
hsa-miR-7109-5p,0.589,0.034956,-2.702197,-3.371,-0.19958089,hsa-miR-7109-5p,
hsa-miR-4292,0.589,0.034994,-2.701371,-3.372,-0.04766814,hsa-miR-4292,
hsa-miR-362-5p,0.589,0.035111,2.6989,-3.375,0.58890536,hsa-miR-362-5p,
hsa-miR-520e,0.589,0.035207,2.696849,-3.378,0.17194225,hsa-miR-520e,
hsa-miR-1185-1-3p,0.589,0.035409,-2.692601,-3.383,-0.38483881,hsa-miR-1185-1-3p,
hsa-miR-4449,0.589,0.03564,2.687746,-3.388,0.26362103,hsa-miR-4449,
hsa-miR-8485,0.589,0.035776,-2.684925,-3.392,-0.39812914,hsa-miR-8485,
hsa-miR-2117,0.589,0.035813,2.684135,-3.393,0.05217563,hsa-miR-2117,
hsa-miR-136-5p,0.589,0.036162,2.676938,-3.401,1.26735676,hsa-miR-136-5p,
hsa-miR-557,0.589,0.036317,-2.673743,-3.405,-0.30042848,hsa-miR-557,
hsa-miR-4738-3p,0.589,0.036516,-2.669679,-3.41,-0.15880185,hsa-miR-4738-3p,
hsa-miR-1304-3p,0.589,0.036775,2.66443,-3.416,0.09825451,hsa-miR-1304-3p,
hsa-miR-141-3p,0.589,0.036898,2.661956,-3.419,1.139411,hsa-miR-141-3p,
hsa-miR-4313,0.594,0.03742,2.651517,-3.431,0.08846645,hsa-miR-4313,
hsa-miR-23c,0.594,0.03769,2.646176,-3.438,0.09687285,hsa-miR-23c,
hsa-miR-4773,0.596,0.038014,-2.639829,-3.445,-0.08115072,hsa-miR-4773,
hsa-miR-5591-5p,0.597,0.038331,2.633669,-3.452,0.05751477,hsa-miR-5591-5p,
hsa-miR-6769b-5p,0.603,0.039638,-2.608855,-3.482,-0.54923436,hsa-miR-6769b-5p,
hsa-miR-3158-5p,0.603,0.04003,-2.601571,-3.491,-0.13173684,hsa-miR-3158-5p,
hsa-miR-489-3p,0.603,0.040715,2.589036,-3.505,0.37210983,hsa-miR-489-3p,
hsa-miR-3169,0.603,0.040769,2.588056,-3.507,0.06009256,hsa-miR-3169,
hsa-miR-6772-5p,0.603,0.041469,-2.575496,-3.522,-0.13067845,hsa-miR-6772-5p,
hsa-miR-8065,0.603,0.041732,2.570827,-3.527,0.07170638,hsa-miR-8065,
hsa-miR-4691-3p,0.603,0.041893,2.567993,-3.531,0.06084641,hsa-miR-4691-3p,
hsa-miR-582-5p,0.603,0.042098,2.564397,-3.535,0.17061507,hsa-miR-582-5p,
hsa-miR-4794,0.603,0.042472,2.557875,-3.543,0.05851134,hsa-miR-4794,
hsa-miR-200a-3p,0.603,0.04292,-2.55016,-3.552,-0.18361957,hsa-miR-200a-3p,
hsa-miR-922,0.603,0.043088,2.547279,-3.555,0.05713001,hsa-miR-922,
hsa-miR-4799-5p,0.603,0.043454,2.54106,-3.563,0.05745442,hsa-miR-4799-5p,
hsa-miR-342-3p,0.603,0.044302,-2.526843,-3.58,-0.28219027,hsa-miR-342-3p,
hsa-miR-3911,0.603,0.044442,-2.52453,-3.583,-0.31591883,hsa-miR-3911,
hsa-miR-330-3p,0.603,0.044457,2.524274,-3.583,0.25970816,hsa-miR-330-3p,
hsa-miR-6073,0.603,0.044528,-2.523107,-3.584,-0.38404469,hsa-miR-6073,
hsa-miR-4271,0.603,0.044624,-2.521527,-3.586,-0.29119061,hsa-miR-4271,
hsa-miR-30d-5p,0.603,0.044679,2.520608,-3.587,1.12220039,hsa-miR-30d-5p,
hsa-miR-6816-3p,0.603,0.04476,2.519285,-3.589,0.04656907,hsa-miR-6816-3p,
hsa-miR-148b-3p,0.603,0.04488,2.517315,-3.591,0.46744786,hsa-miR-148b-3p,
hsa-miR-499a-5p,0.603,0.044971,-2.51584,-3.593,-0.11917506,hsa-miR-499a-5p,
hsa-miR-6511b-3p,0.603,0.045022,-2.515007,-3.594,-0.04815014,hsa-miR-6511b-3p,
hsa-miR-449a,0.603,0.045097,-2.513775,-3.595,-0.06248016,hsa-miR-449a,
hsa-miR-1224-5p,0.603,0.045343,-2.509778,-3.6,-0.1981071,hsa-miR-1224-5p,
hsa-miR-4269,0.603,0.045351,-2.509661,-3.6,-0.04484492,hsa-miR-4269,
hsa-miR-4310,0.603,0.045627,2.5052,-3.606,0.0881805,hsa-miR-4310,
hsa-miR-6751-3p,0.603,0.046018,2.498942,-3.613,0.05088123,hsa-miR-6751-3p,
hsa-let-7f-5p,0.603,0.046106,-2.49754,-3.615,-0.57490972,hsa-let-7f-5p,
hsa-miR-765,0.603,0.046165,-2.496609,-3.616,-0.29238287,hsa-miR-765,
hsa-miR-632,0.603,0.046741,2.48751,-3.627,0.04958723,hsa-miR-632,
hsa-miR-3616-3p,0.603,0.047489,2.475881,-3.641,0.23919079,hsa-miR-3616-3p,
hsa-miR-129-1-3p,0.603,0.047822,2.470769,-3.647,0.0737724,hsa-miR-129-1-3p,
hsa-miR-181a-3p,0.603,0.047938,2.469003,-3.649,0.36656541,hsa-miR-181a-3p,
hsa-miR-605-5p,0.603,0.048313,-2.463301,-3.656,-0.28086687,hsa-miR-605-5p,
hsa-miR-451b,0.603,0.048404,2.461916,-3.658,0.06267553,hsa-miR-451b,
hsa-miR-1290,0.603,0.048488,-2.460655,-3.659,-2.73434811,hsa-miR-1290,
hsa-miR-4444,0.603,0.048717,-2.457203,-3.663,-0.05581395,hsa-miR-4444,
hsa-miR-1226-3p,0.603,0.048939,2.453888,-3.667,0.03722544,hsa-miR-1226-3p,
hsa-miR-6719-3p,0.603,0.049052,-2.452198,-3.669,-0.04836315,hsa-miR-6719-3p,
hsa-miR-1321,0.603,0.049584,-2.444309,-3.679,-0.1400194,hsa-miR-1321,
hsa-miR-3689d,0.603,0.049593,2.444178,-3.679,0.07692216,hsa-miR-3689d,
hsa-miR-6895-5p,0.603,0.049596,-2.444136,-3.679,-0.08325606,hsa-miR-6895-5p,
hsa-miR-744-5p,0.603,0.050218,2.435033,-3.69,0.36032563,hsa-miR-744-5p,
hsa-miR-624-5p,0.603,0.050227,2.434903,-3.69,0.07875365,hsa-miR-624-5p,
hsa-miR-507,0.603,0.050576,2.429856,-3.696,0.05591198,hsa-miR-507,
hsa-miR-3162-3p,0.603,0.050584,2.429731,-3.696,0.0813803,hsa-miR-3162-3p,
hsa-miR-4789-3p,0.603,0.050597,2.429544,-3.697,0.08493052,hsa-miR-4789-3p,
hsa-let-7d-3p,0.603,0.050617,-2.429254,-3.697,-0.07024034,hsa-let-7d-3p,
hsa-miR-30d-3p,0.603,0.050707,2.427961,-3.699,0.23642585,hsa-miR-30d-3p,
hsa-miR-564,0.603,0.050867,2.425668,-3.701,0.26691058,hsa-miR-564,
hsa-miR-3194-5p,0.603,0.050936,-2.424678,-3.703,-0.23971976,hsa-miR-3194-5p,
hsa-miR-519c-3p,0.603,0.0517,2.413814,-3.716,0.86768437,hsa-miR-519c-3p,
hsa-miR-4488,0.603,0.051724,-2.41348,-3.716,-0.05386222,hsa-miR-4488,
hsa-miR-6512-5p,0.603,0.052065,2.408692,-3.722,0.14174682,hsa-miR-6512-5p,
hsa-miR-4764-5p,0.603,0.052065,2.408691,-3.722,0.05353327,hsa-miR-4764-5p,
hsa-miR-4510,0.603,0.052135,-2.407716,-3.723,-0.05551454,hsa-miR-4510,
hsa-miR-190a-3p,0.603,0.052349,-2.404731,-3.727,-0.04788656,hsa-miR-190a-3p,
hsa-miR-4276,0.603,0.052397,2.404062,-3.727,0.05448521,hsa-miR-4276,
hsa-miR-508-3p,0.603,0.052728,2.399475,-3.733,0.04508349,hsa-miR-508-3p,
hsa-miR-4683,0.603,0.053007,-2.395622,-3.738,-0.03572489,hsa-miR-4683,
hsa-miR-6868-3p,0.603,0.053229,-2.392578,-3.741,-0.05799564,hsa-miR-6868-3p,
hsa-miR-194-5p,0.603,0.053505,2.38882,-3.746,0.73325818,hsa-miR-194-5p,
hsa-miR-6741-5p,0.603,0.053668,-2.386607,-3.749,-0.17545173,hsa-miR-6741-5p,
hsa-miR-7153-3p,0.603,0.054117,2.380547,-3.756,0.03609683,hsa-miR-7153-3p,
hsa-miR-4659a-3p,0.603,0.05415,-2.380104,-3.756,-0.06995362,hsa-miR-4659a-3p,
hsa-miR-4731-3p,0.603,0.054713,-2.372569,-3.765,-0.09396555,hsa-miR-4731-3p,
hsa-miR-9500,0.603,0.054878,-2.37038,-3.768,-0.06815133,hsa-miR-9500,
hsa-miR-4650-5p,0.603,0.055001,2.368756,-3.77,0.04732539,hsa-miR-4650-5p,
hsa-miR-6885-3p,0.603,0.055095,-2.367512,-3.772,-0.05275277,hsa-miR-6885-3p,
hsa-miR-1260a,0.603,0.05564,2.360365,-3.78,0.91427616,hsa-miR-1260a,
hsa-miR-1207-3p,0.603,0.055705,-2.359516,-3.781,-0.16695349,hsa-miR-1207-3p,
hsa-miR-1269b,0.603,0.055731,2.359167,-3.782,0.04133303,hsa-miR-1269b,
hsa-miR-449b-3p,0.603,0.055838,-2.357784,-3.783,-0.05634934,hsa-miR-449b-3p,
hsa-miR-556-5p,0.605,0.056417,2.35029,-3.792,0.05257459,hsa-miR-556-5p,
hsa-miR-6877-3p,0.605,0.056478,2.349502,-3.793,0.04252291,hsa-miR-6877-3p,
hsa-miR-610,0.605,0.056733,-2.346225,-3.797,-0.14741174,hsa-miR-610,
hsa-miR-4446-3p,0.609,0.05739,-2.337875,-3.807,-0.13518825,hsa-miR-4446-3p,
hsa-miR-8078,0.609,0.057582,2.335453,-3.81,0.05773069,hsa-miR-8078,
hsa-miR-563,0.612,0.058334,2.326035,-3.822,0.05078822,hsa-miR-563,
hsa-miR-1247-3p,0.612,0.059168,-2.315737,-3.834,-0.09998906,hsa-miR-1247-3p,
hsa-miR-3187-5p,0.612,0.059174,-2.315665,-3.834,-0.05191335,hsa-miR-3187-5p,
hsa-miR-3919,0.612,0.059567,2.310878,-3.84,0.0555082,hsa-miR-3919,
hsa-miR-3189-5p,0.612,0.059651,2.309847,-3.841,0.06616566,hsa-miR-3189-5p,
hsa-miR-215-5p,0.612,0.059692,2.309354,-3.842,0.37215086,hsa-miR-215-5p,
hsa-miR-103a-3p,0.612,0.060226,2.302902,-3.85,0.30569136,hsa-miR-103a-3p,
hsa-miR-938,0.612,0.060595,-2.298475,-3.855,-0.04812645,hsa-miR-938,
hsa-miR-5188,0.612,0.06062,2.29818,-3.856,0.03957798,hsa-miR-5188,
hsa-miR-4779,0.612,0.060812,2.295889,-3.858,0.06123115,hsa-miR-4779,
hsa-miR-155-5p,0.612,0.060932,-2.294462,-3.86,-0.98540644,hsa-miR-155-5p,
hsa-miR-126-3p,0.612,0.061037,2.293216,-3.862,0.93389509,hsa-miR-126-3p,
hsa-miR-27a-5p,0.612,0.061259,2.290583,-3.865,0.07218557,hsa-miR-27a-5p,
hsa-miR-181c-5p,0.612,0.061524,2.28746,-3.869,0.45876968,hsa-miR-181c-5p,
hsa-miR-99b-5p,0.612,0.061564,2.286989,-3.869,0.80956024,hsa-miR-99b-5p,
hsa-miR-145-3p,0.612,0.062202,2.279525,-3.878,0.50097391,hsa-miR-145-3p,
hsa-miR-503-5p,0.612,0.062799,2.272615,-3.887,1.28129473,hsa-miR-503-5p,
hsa-miR-4774-5p,0.612,0.062865,2.271857,-3.888,0.05272267,hsa-miR-4774-5p,
hsa-miR-466,0.612,0.063381,-2.265944,-3.895,-0.07077197,hsa-miR-466,
hsa-miR-455-3p,0.612,0.063436,-2.265318,-3.895,-0.37770178,hsa-miR-455-3p,
hsa-miR-1238-3p,0.612,0.063523,2.264328,-3.897,0.07587683,hsa-miR-1238-3p,
hsa-miR-4793-5p,0.612,0.063897,-2.260086,-3.902,-0.20157886,hsa-miR-4793-5p,
hsa-miR-30a-3p,0.612,0.064045,2.258413,-3.904,1.05757641,hsa-miR-30a-3p,
hsa-miR-4698,0.612,0.064101,-2.257785,-3.905,-0.140907,hsa-miR-4698,
hsa-miR-3130-3p,0.612,0.064106,2.257734,-3.905,0.04851127,hsa-miR-3130-3p,
hsa-miR-1204,0.612,0.064151,-2.257218,-3.905,-0.04685134,hsa-miR-1204,
hsa-miR-335-5p,0.612,0.06438,2.254643,-3.908,1.04301633,hsa-miR-335-5p,
hsa-miR-6808-5p,0.612,0.064753,-2.250472,-3.913,-0.30178922,hsa-miR-6808-5p,
hsa-miR-1271-5p,0.612,0.06494,-2.248388,-3.916,-0.11752368,hsa-miR-1271-5p,
hsa-miR-4718,0.612,0.065148,2.246078,-3.919,0.05326183,hsa-miR-4718,
hsa-miR-548ab,0.612,0.065238,2.245079,-3.92,0.08577195,hsa-miR-548ab,
hsa-miR-609,0.612,0.065561,-2.241512,-3.924,-0.04939869,hsa-miR-609,
hsa-miR-378d,0.612,0.066057,2.236073,-3.931,0.19013585,hsa-miR-378d,
